1,Laterne,Kerze,https://wordly.org/de?challenge=a2VyemU
2,Mond,Stern,https://wordly.org/de?challenge=c3Rlcm4
3,Spinnrad,Märchen,https://wordly.org/de?challenge=bcOkcmNoZW4
4,Bär brumm,Teddy,https://wordly.org/de?challenge=dGVkZHk
5,Pilz,Trüffel,https://wordly.org/de?challenge=dHLDvGZmZWw
6,Nikolaus,Stiefel,https://wordly.org/de?challenge=c3RpZWZlbA
7,Nase,Rudolph,https://wordly.org/de?challenge=cnVkb2xwaA
8,Ding dong,Glocke,https://wordly.org/de?challenge=Z2xvY2tl
9,Mama,Maria,https://wordly.org/de?challenge=bWFyaWE
10,Pferd,Esel,https://wordly.org/de?challenge=ZXNlbA
11,Kuchen,Stollen,https://wordly.org/de?challenge=c3RvbGxlbg
12,Bach,Oratorium,https://wordly.org/de?challenge=b3JhdG9yaXVt
13,umblättern,Geschichte,https://wordly.org/de?challenge=Z2VzY2hpY2h0ZQ
14,Vogel,Rotkehlchen,https://wordly.org/de?challenge=cm90a2VobGNoZW4
15,Drei Fünf Sechs Sieben Neun,Kalender,https://wordly.org/de?challenge=a2FsZW5kZXI
16,Aufwachen!,Morgenstern,https://wordly.org/de?challenge=bW9yZ2Vuc3Rlcm4
17,rutschen,Schlitten,https://wordly.org/de?challenge=c2NobGl0dGVu
18,Tütata laut,Feuerwerk,https://wordly.org/de?challenge=ZmV1ZXJ3ZXJr
19,Bitte,Geschenk,https://wordly.org/de?challenge=Z2VzY2hlbms
20,Reh,Rentier,https://wordly.org/de?challenge=cmVudGllcg
21,Entchen,Braten,https://wordly.org/de?challenge=YnJhdGVu
22,schaukel schaukel schaukel,Krippe,https://wordly.org/de?challenge=a3JpcHBl
23,Junge,Jesus,https://wordly.org/de?challenge=amVzdXM
24,Weihnachtsmann,Bescherung,https://wordly.org/de?challenge=YmVzY2hlcnVuZw
